Name,Address,City,CountryCode,Weekdays,Start_Hours,Start_Minutes,End_Hour,End_Minutes,Rating
10 Greek Street,10 Greek Street,London,GB,0,12,00,23,30,4.5
10 Greek Street,10 Greek Street,London,GB,1,12,00,23,30,4.5
10 Greek Street,10 Greek Street,London,GB,2,12,00,23,30,4.5
10 Greek Street,10 Greek Street,London,GB,3,12,00,23,30,4.5
10 Greek Street,10 Greek Street,London,GB,4,12,00,23,30,4.5
10 Greek Street,10 Greek Street,London,GB,5,12,00,23,30,4.5
10 Greek Street,10 Greek Street,London,GB,6,17,30,23,00,4.5
10 Greek Street,10 Greek Street,London,GB,0,11,00,22,00,4.5
10 Greek Street,10 Greek Street,London,GB,1,11,00,22,00,4.5
10 Greek Street,10 Greek Street,London,GB,2,11,00,22,00,4.5
10 Greek Street,10 Greek Street,London,GB,3,11,00,22,00,4.5
10 Greek Street,10 Greek Street,London,GB,4,11,00,23,00,4.5
10 Greek Street,10 Greek Street,London,GB,5,11,00,23,00,4.5
10 Greek Street,10 Greek Street,London,GB,6,11,00,22,00,4.5
100% de Agave,975 Lincoln St,Denver,US,1,11,00,00,00,4.0
100% de Agave,975 Lincoln St,Denver,US,2,11,00,00,00,4.0
100% de Agave,975 Lincoln St,Denver,US,3,11,00,00,00,4.0
100% de Agave,975 Lincoln St,Denver,US,4,11,00,00,00,4.0
100% de Agave,975 Lincoln St,Denver,US,5,11,00,00,00,4.0
100% de Agave,975 Lincoln St,Denver,US,6,11,00,00,00,4.0
100 Hoxton,100-102 Hoxton Street,London,GB,0,11,00,21,30,4.5
100 Hoxton,100-102 Hoxton Street,London,GB,1,11,00,21,30,4.5
100 Hoxton,100-102 Hoxton Street,London,GB,2,11,00,21,30,4.5
100 Hoxton,100-102 Hoxton Street,London,GB,3,11,00,21,30,4.5
100 Hoxton,100-102 Hoxton Street,London,GB,4,11,00,21,30,4.5
100 Hoxton,100-102 Hoxton Street,London,GB,5,16,30,21,30,4.5
100 Hoxton,100-102 Hoxton Street,London,GB,6,16,30,21,30,4.5
11 Inch Pizza,Equitable Place,Melbourne,AU,1,12,00,14,30,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,1,17,00,22,00,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,2,12,00,14,30,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,2,17,00,22,00,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,3,12,00,14,30,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,3,17,00,22,00,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,4,12,00,14,30,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,4,17,00,22,00,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,5,12,00,22,00,4.0
11 Inch Pizza,Equitable Place,Melbourne,AU,6,12,00,21,00,4.0
111 by Nico,111 Cleveden Road,Glasgow,GB,0,06,30,21,00,5.0
111 by Nico,111 Cleveden Road,Glasgow,GB,1,06,30,21,00,5.0
111 by Nico,111 Cleveden Road,Glasgow,GB,2,06,30,21,00,5.0
111 by Nico,111 Cleveden Road,Glasgow,GB,3,06,30,21,00,5.0
111 by Nico,111 Cleveden Road,Glasgow,GB,4,06,30,21,00,5.0
111 by Nico,111 Cleveden Road,Glasgow,GB,5,07,00,11,00,5.0
