Job Family,Total Compensation,Total Benefits,Percentage
Administrative-DPW/PUC,98251.1,22702.66,23.106774377080765
Administrative-Labor & Trades,179801.15390243902,39960.12219512195,22.224619435314917
Agriculture & Horticulture,96610.10094505495,28653.835032967036,29.65925379714004
Airport Operation,120980.47281588447,33539.64133574008,27.723185862219907
Appraisal & Taxation,39426.81,10583.05,26.84226798972577
"Budget, Admn & Stats Analysis",92206.57731707317,26491.149512195127,28.73021674050357
"Clerical, Secretarial & Steno",37194.62861851333,11184.778492286116,30.07095085422894
Community Development,48884.0,15198.575,31.091103428524676
Computer Operatns & Repro Svcs,65418.73922580645,19772.975612903225,30.225247149219225
Construction Inspection,121403.22968965517,32335.709172413786,26.6349661825917
Correction & Detention,146978.07246139593,34027.55409820877,23.151449415793753
Dietary & Food,59915.44287499999,18316.924395833335,30.57129100096523
Energy & Environment,83055.26666666666,22773.096666666668,27.419208414637968
Fire Services,195133.0724892396,40051.07656743185,20.525006887102865
Health & Sanitation Inspection,132239.0711111111,36832.49333333333,27.852958300338944
Hospital Administration,104709.91865853661,31054.73731707317,29.657875504940424
Housekeeping & Laundry,82080.50506139154,25455.333710777624,31.012642638758724
Human Services,102420.3031919643,29162.0329985119,28.47290243210284
Information Systems,85992.61538461539,25063.003333333334,29.145529789081472
Journeyman Trade,135810.6763843888,35240.49936487482,25.948254071817328
"Lab, Pharmacy & Med Techs",130938.14873913044,33432.82802173913,25.53329823560262
Legal & Court,117844.86176470589,31191.483431372548,26.468259170816292
Library,21718.382,7992.0,36.79832134824777
Management,156159.83521739132,43603.17130434783,27.922142235644344
Med Therapy & Auxiliary,88077.80972677596,25972.756420765025,29.488422227272093
Medical & Dental,154797.95142857145,33222.22761904762,21.46167136738717
Museum & Cultural Affairs,83926.07,27037.39,32.215722718816686
Nursing,99709.56166349449,25785.75530643319,25.860865173047724
Park & Zoo,61849.955,21177.600625,34.24028461297991
"Payroll, Billing & Accounting",101750.4238202247,30059.396292134832,29.542281165574853
Personnel,50126.14726618706,14733.33338129496,29.39251106424737
Police Services,161969.00323085295,32552.014867364982,20.097681789748925
Port Operation,88484.42,23688.18,26.771017993902202
Probation & Parole,126130.00999999998,31842.58709677419,25.245845216990148
Professional Engineering,112286.4266666667,30511.198666666674,27.17265084696494
Property Administration,93551.40999999999,26791.14333333333,28.637882992178664
Protection & Apprehension,106554.18882710281,29262.25163084112,27.46231936345806
Pub Relations & Spec Assts,77570.48142857142,22623.198571428573,29.164700482438676
Public Safety Inspection,152279.56534482757,38110.502873563215,25.02666906571762
Public Service Aide,29573.241102362204,10643.402637795276,35.98997688807643
Purchasing & Storekeeping,98078.367734375,28520.068046875,29.078856740474833
Recreation,16110.624029850747,4943.395373134328,30.684071355491284
Revenue,49657.09911764706,15971.70205882353,32.16398529640958
SF Superior Court,48377.159999999996,13636.096666666666,28.187054938046526
Semi-Skilled & General Labor,83116.7890329218,24864.369763374485,29.914978733750093
Skilled Labor,112757.5327390791,30380.183624557263,26.94293045135796
Street Transit,101598.58983197737,30794.803561195615,30.310266719374475
Sub-Professional Engineering,91396.19563829784,25831.715319148938,28.26344700536381
Supervisory-Labor & Trade,154489.95631818182,37940.95593181818,24.558849543381566
