,Home,Score
0,Durham,158.0
1,Hampshire,162.0
2,Surrey,156.0
3,Worcestershire,168.0
4,Gloucestershire,155.0
5,Yorkshire,160.0
6,Kent,157.0
7,Leicestershire,156.0
8,Nottinghamshire,165.0
9,Sussex,157.0
10,Derbyshire,148.0
11,Lancashire,154.0
12,Middlesex,153.0
13,Northamptonshire,163.0
14,Warwickshire,158.0
15,Glamorgan,151.0
16,Essex,167.0
17,Eastern Cape,116.0
18,Titans,156.0
19,Dolphins,157.0
20,Eagles,152.0
21,Somerset,180.0
22,Bloomfield Cricket and Athletic Club,124.0
23,Burgher Recreation Club,132.0
24,Chilaw Marians Cricket Club,156.0
25,Colombo Cricket Club,162.0
26,Colts Cricket Club,158.0
27,Kurunegala Youth Cricket Club,166.0
28,Moors Sports Club,145.0
29,Nondescripts Cricket Club,160.0
30,Lions,155.0
31,Warriors,147.0
32,Faisalabad Wolves,150.0
33,Lahore Eagles,165.0
34,Lahore Lions,160.0
35,Karachi Zebras,159.0
36,England,158.0
37,Sri Lanka Air Force Sports Club,143.0
38,Tamil Union Cricket and Athletic Club,156.0
39,Badureliya Sports Club,155.0
40,Police Sports Club,174.0
41,Ragama Cricket Club,151.0
42,Galle Cricket Club,142.0
43,Sebastianites Cricket and Athletic Club,139.0
44,Sinhalese Sports Club,158.0
45,Australia,156.0
46,Victoria,167.0
47,New South Wales,137.0
48,Canterbury,162.0
49,Auckland,164.0
50,New Zealand,156.0
51,Cape Cobras,155.0
52,South Africa,160.0
53,Abbottabad Rhinos,165.0
54,Hyderabad Hawks,160.0
55,Islamabad Leopards,135.0
56,Peshawar Panthers,146.0
57,Nevis,104.0
58,St Vincent,109.0
59,Antigua,146.0
60,Guyana,140.0
62,Northern Districts,160.0
63,Bangladesh,145.0
64,Western Australia,170.0
65,Queensland,170.0
66,Tasmania,161.0
67,South Australia,163.0
68,Central Districts,166.0
69,Otago,169.0
70,Wellington,166.0
71,Saracens Sports Club,142.0
72,Sri Lanka Army,128.0
73,Panadura Sports Club,134.0
74,Gujarat,154.0
