Publish_Dates,Mains,New_Desks,Section_Names
2017-01-27T16:10:57+0000,"Google, in Post-Obama Era, Aggressively Woos Republicans",Business,Technology
2016-12-31T17:18:22+0000,"With Trump, Russia Goes From Thursday’s Foe of U.S. to Friday’s Friend",Foreign,World
2016-12-30T18:33:07+0000,"Trump Gets an Opening from Russia, but the Path Is Risky",Foreign,U.S.
2016-12-30T11:11:53+0000,Theresa May Scolds Kerry for Focus on Israel Settlements,Foreign,World
2016-11-24T01:05:38+0000,Overtime Rule Is but the Latest Obama Initiative to End in Texas Court,Business,Business Day
2016-12-29T02:11:12+0000,"In John Kerry’s Mideast Speech, a Clash of Policies and Personalities",Foreign,World
2017-01-18T17:16:43+0000,"In Farewell, Obama Sets Red Lines That Would Pull Him Back Into Fray",National,U.S.
2008-07-14T00:00:00Z,Obama Girls Get Their 15 Minutes,Business,Business Day
2014-06-08T00:00:00Z,Obama on Obama on Climate,Editorial,Opinion
2016-10-18T01:24:20+0000,Battle for Mosul Tests Obama Strategy to Shift Fight’s Burden From U.S.,Foreign,U.S.
2016-06-24T00:00:00Z,Supreme Court Tie Blocks Obama Immigration Plan,National,U.S.
2016-06-02T00:00:00Z,Trans-Pacific Partnership Supporters Pin Hopes on Lame-Duck Vote,Business,Business Day
2016-05-31T00:00:00Z,"U.S. Struggles With Goal of Admitting 10,000 Syrians",National,U.S.
2016-09-02T04:00:00+0000,T.P.P. Faces Rough Road in Congress,Business,Business Day
2016-08-13T11:52:37+0000,"Once Skeptical of Executive Power, Obama Has Come to Embrace It",National,U.S.
2016-02-17T00:00:00Z,Next Supreme Court Justice Will Be Crucial to Climate Change,Business,Business Day
2016-01-06T00:00:00Z,Tearful Obama Outlines Steps to Curb Gun Deaths,National,U.S.
2012-06-05T00:00:00Z,"The Young Dreamer, With Eyes Wide Open",Culture,Books
2017-01-16T08:30:26+0000,Obama’s Secret to Surviving the White House Years: Books,Culture,Books
2017-01-14T11:00:05+0000,What Michelle Obama Wore and Why It Mattered,Styles,Fashion & Style
2017-01-14T19:45:02+0000,How Black America Saw Obama,OpEd,Opinion
2017-01-14T10:01:44+0000,"Jolted by Deaths, Obama Found His Voice on Race",National,U.S.
2012-09-06T00:00:00Z,"4 Years Later, Scarred but Still Confident",National,U.S.
2012-06-17T00:00:00Z,The Making of the President,BookReview,Books
2017-01-12T22:34:33+0000,Obama Ends Exemption for Cubans Who Arrive Without Visas,Foreign,World
2017-01-11T05:42:34+0000,"Obama, Saying Goodbye, Warns of Threats to National Unity",National,U.S.
2017-01-06T08:21:19+0000,Which Michelle Obama Will We Get When She Leaves the White House?,OpEd,Opinion
2017-01-04T16:36:36+0000,Senate Republicans Open Fight Over Obama Health Law,National,U.S.
2017-01-03T01:23:03+0000,"After Obama, Some Health Reforms May Prove Lasting",National,U.S.
2017-01-01T20:34:00+0000,The Afghan War and the Evolution of Obama,Foreign,World
2017-02-02T18:11:47+0000,Trump Embraces Pillars of Obama’s Foreign Policy,Foreign,World
2012-10-23T00:00:00Z,9 Justices Who Sit in the Eye of Storms,Culture,Books
2016-11-13T23:16:15Z,Historians Assess Obama’s Legacy Under Trump’s Shadow,Culture,Books
2017-01-22T22:46:51+0000,"Two Museum Exhibits, Refracting a Divide",Culture,Arts
2017-01-22T19:26:25+0000,Cubans Newly Blocked at U.S. Border Place Hopes in Trump,Foreign,World
2014-11-06T00:00:00Z,Anatomy of a Presidency While It&#8217;s Still Unfolding,Culture,Books
2017-01-20T02:10:43+0000,Trump Nominees Make Clear Plans to Sweep Away Obama Policies,National,U.S.
2013-06-03T00:00:00Z,How Obama Prevailed in 2012,Culture,Books
2017-01-18T02:13:19+0000,Trump Entering White House Unbent and Unpopular,National,U.S.
