Publish_Dates,Mains,New_Desks,Section_Names
2017-02-04T02:36:29+0000,Trust Records Show Trump Is Still Closely Tied to His Empire,National,U.S.
2017-01-19T21:12:05+0000,"At Trump Hotel in Washington, Champagne Toasts in an Ethical ‘Minefield’",National,U.S.
2016-03-12T00:00:00Z,"At Trump University, Students Recall Pressure to Give Positive Reviews",National,U.S.
2017-02-06T01:33:59+0000,"The Massacre That Wasn’t, and a Turning Point for ‘Fake News’",Business,Business Day
2017-01-20T21:48:09+0000,"With Echoes of the ’30s, Trump Resurrects a Hard-Line Vision of ‘America First’",National,U.S.
2016-08-30T04:00:00+0000,Hillary Clinton Piles Up Research in Bid to Needle Donald Trump at First Debate,National,U.S.
1989-04-23T00:00:00Z,POSTINGS: Trump Palace Going Up; 55 Stories On Third,Real Estate Desk,Real Estate
2016-10-07T04:00:00+0000,Donald Trump’s Ventures Began With a Lot of Hype. Here’s How They Turned Out.,National,U.S.
2017-01-20T14:16:43+0000,"Donald Trump Is Sworn In as President, Capping His Swift Ascent",National,U.S.
2016-08-30T04:00:00+0000,Hillary Clinton Piles Up Research in Bid to Needle Donald Trump at First Debate,National,U.S.
1989-04-23T00:00:00Z,POSTINGS: Trump Palace Going Up; 55 Stories On Third,Real Estate Desk,Real Estate
2016-10-07T04:00:00+0000,Donald Trump’s Ventures Began With a Lot of Hype. Here’s How They Turned Out.,National,U.S.
2017-01-17T13:49:49+0000,Presidents Have Less Power Over the Economy Than You Might Think,Business,The Upshot
2017-01-15T18:35:16+0000,Women’s March Gives Boost to Start-Up for Bus Sharing,Business,Technology
2017-01-26T00:04:14+0000,"For Justin Trudeau, Canada’s Leader, Revival of Keystone XL Upsets a Balancing Act",Foreign,World
2017-01-15T20:28:14+0000,"Trump, Twitter and the Art of His Deal",Culture,Arts
2017-01-16T13:52:43+0000,"Trump Attacks BMW and Mercedes, but Auto Industry Is a Complex Target",Business,Business Day
2016-12-28T08:00:23+0000,"For the Trumps, ‘Made in U.S.A.’ May Be a Tricky Label to Stitch",Business,Business Day
2017-01-15T18:35:16+0000,Women’s March Gives Boost to Start-Up for Bus Sharing,Business,Technology
2017-01-13T02:30:25+0000,"Richard Prince, Protesting Trump, Returns Art Payment",Culture,Arts
1986-01-02T00:00:00Z,APARTMENT OF THE MOMENT: THE LATEST IN TRENDS,Home Desk,Home and Garden; Style
2017-01-26T17:39:58+0000,"Elon Musk Has Trump’s Ear, and Wall Street Takes Note",Business,Business Day
2016-12-28T08:00:23+0000,"For the Trumps, ‘Made in U.S.A.’ May Be a Tricky Label to Stitch",Business,Business Day
2017-01-26T17:39:58+0000,"Elon Musk Has Trump’s Ear, and Wall Street Takes Note",Business,Business Day
1986-01-02T00:00:00Z,APARTMENT OF THE MOMENT: THE LATEST IN TRENDS,Home Desk,Home and Garden; Style
2017-01-24T16:48:31+0000,Trump Injects High Risk Into Relations With China,Foreign,World
2017-01-16T21:44:54+0000,"For Trump, Three Decades of Chasing Deals in Russia",Investigative,U.S.
2016-12-24T17:20:41+0000,"Denying Conflict, Trump Family Tries to Resolve Potential Problems",National,U.S.
2017-01-11T16:30:53+0000,Trump’s Plans on Businesses May Fall Short,National,U.S.
2017-02-03T13:57:26+0000,Iran to Bar American Wrestling Team From World Cup,Sports,Sports
1986-06-29T00:00:00Z,REAGAN AND THE CONTRAS WIN A ROUND IN THE HOUSE,Week in Review Desk,Washington; Week in Review
2017-02-07T02:09:58+0000,"During Breaks in Super Bowl, Advertisers Enter Political Debate",Business,Business Day
2017-02-08T02:00:36+0000,White House Weighs Terrorist Designation for Muslim Brotherhood,Foreign,World
2017-02-06T10:46:43+0000,"Tech Opposition to Trump Propelled by Employees, Not Executives",Business,Technology
