Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2017-02-01,Highlighting Women in Photojournalism,The New York Times,blogpost,https://lens.blogs.nytimes.com/2017/02/01/highlighting-women-in-photojournalism/,None,Multimedia,"Daniella Zalcman has put together a website featuring the photojournalism work of hundreds of women. She wants to show editors that there’s “not a shortage of women photographers, just a lack of equitable hiring.”..."
2017-02-02,Review: ‘Chapter & Verse’ Tells of Prison and Redemption,The New York Times,article,http://www.nytimes.com/2017/02/02/movies/chapter-verse-review.html,Weekend,Movies,This film from Jamal Joseph and Daniel Beaty centers on the struggles of an ex-con re-entering society....
2017-02-02,"Review: In ‘Dark Night,’ Another Movie Theater, Another Shooting",The New York Times,article,http://www.nytimes.com/2017/02/02/movies/dark-night-review.html,Weekend,Movies,"This fictional film by Tim Sutton was inspired by the massacre in 2012 at a showing of the film “The Dark Night Rises” in an Aurora, Colo., theater...."
2017-02-02,Review: ‘Eloise’ Has the Usual Haunted-Hospital Clichés,The New York Times,article,http://www.nytimes.com/2017/02/02/movies/eloise-review-eliza-dushku.html,Weekend,Movies,"Robert Legato’s horror movie is “a strange mix of the recycled and the surreal,” Jeannette Catsoulis writes...."
2017-02-02,Events for Children in NYC This Week,The New York Times,article,http://www.nytimes.com/2017/02/02/arts/events-for-children-in-nyc-this-week.html,Weekend,Arts,Our guide to cultural events in New York City for families with children and teenagers....
2017-02-02,Preterm Birth May Be Early Warning of Heart Disease in Women,The New York Times,article,http://www.nytimes.com/2017/02/02/well/live/preterm-birth-may-be-early-warning-of-heart-disease-in-women.html,Science,Well,"Delivering a baby before 37 weeks of pregnancy is associated with later-life heart problems, even when a woman has no other risk factors...."
2017-02-02,"Review: In ‘A Good American,’ Examining Sept. 11 and Data Collection",The New York Times,article,http://www.nytimes.com/2017/02/02/movies/a-good-american-review.html,Weekend,Movies,"Friedrich Moser’s documentary employs re-enactments, moving graphics and a Philip Glass-like score...."
2017-02-02,What Snap’s I.P.O. Filing Reveals About the Company,The New York Times,article,http://www.nytimes.com/2017/02/02/business/dealbook/what-snaps-ipo-filing-reveals-about-the-company.html,Business,Business Day,Disclosures showed strong growth in revenue and the number of daily users of Snapchat....
2017-02-02,United States to Australia: Get Lost,The New York Times,article,http://www.nytimes.com/2017/02/02/opinion/united-states-to-australia-get-lost.html,OpEd,Opinion,It is grotesque for Trump to dismiss Australia’s stranded refugees as the next “Boston bombers.”...
2017-02-02,"Long-Ago Brooklyn Brewer Left Hidden Vaults, and Mystery",The New York Times,article,http://www.nytimes.com/2017/02/02/nyregion/williamsburg-brooklyn-ny-brewery.html,Metro,N.Y. / Region,"Construction for an apartment building revealed four underground vaults, believed to have been used by a 19th-century brewer, Sebastian Schnaderbeck...."
2017-02-02,Review: ‘Growing Up Smith’ Plants a Boy From India in 1979 America,The New York Times,article,http://www.nytimes.com/2017/02/02/movies/growing-up-smith-review.html,Weekend,Movies,This gentle coming-of-age film centers on a youngster caught between two cultures and struggling to adapt in suburbia....
2017-02-02,Art and Museums in NYC This Week,The New York Times,article,http://www.nytimes.com/2017/02/02/arts/design/art-and-museums-in-nyc-this-week.html,Weekend,Arts,"Our guide to new art shows, and some that will be closing soon...."
2017-02-02,"New England Patriots, Lady Gaga: Your Thursday Evening Briefing",The New York Times,article,http://www.nytimes.com/2017/02/02/briefing/new-england-patriots-lady-gaga.html,NYTNow,Briefing,Here’s what you need to know at the end of the day....
